ticker,fossil_fuel,defense,gambling,tobacco,alcohol,private_prisons,adult_entertainment,controversial_weapons
PRU,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PEG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PTC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PSA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PHM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PWR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
QCOM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DGX,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Q,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RJF,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RTX,0.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00
O,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
REG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
REGN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RF,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RSG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RMD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RVTY,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HOOD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ROK,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ROL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ROP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ROST,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RCL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SPGI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CRM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SNDK,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SBAC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SLB,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00
STX,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SRE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NOW,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SHW,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SPG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SWKS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SJM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SW,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SNA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SOLV,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SO,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LUV,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SWK,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SBUX,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
STT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
STLD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
STE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SYK,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SMCI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SYF,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SNPS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SYY,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TMUS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TROW,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TTWO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TPR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TRGP,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TGT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TEL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TDY,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TER,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TSLA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TPL,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TMO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TJX,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TKO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TTD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TSCO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TDG,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00
TRV,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TRMB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TFC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TYL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TSN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
USB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
UBER,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
UDR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ULTA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
UNP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
UAL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
UPS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
URI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
UNH,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
UHS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VLO,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VTR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VLTO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VRSN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VRSK,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VZ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VRTX,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VTRS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VICI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
V,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VST,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VMC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WRB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GWW,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WAB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WMT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DIS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WBD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WAT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WEC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WFC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WELL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WST,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WDC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WY,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WSM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WMB,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WTW,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WDAY,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WYNN,0.00,0.00,0.95,0.00,0.00,0.00,0.00,0.00
XEL,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
XYL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
YUM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ZBRA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ZBH,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ZTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
