ticker,fossil_fuel,defense,gambling,tobacco,alcohol,private_prisons,adult_entertainment,controversial_weapons
CARR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CVNA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CAT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CBOE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CBRE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CDW,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
COR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CNC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CNP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CF,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CRL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SCHW,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CHTR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CVX,0.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CMG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CHD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CINF,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CTAS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CSCO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
C,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CFG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CLX,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CME,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CMS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CTSH,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
COIN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CMCSA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FIX,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CAG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
COP,0.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
STZ,0.00,0.00,0.00,0.00,0.95,0.00,0.00,0.00
CEG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
COO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CPRT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GLW,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CPAY,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CTVA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CSGP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
COST,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CTRA,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CRH,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CRWD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CCI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CSX,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CMI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CVS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DHR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DRI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DDOG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DVA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DAY,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DECK,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DELL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DAL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DVN,0.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DXCM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FANG,0.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DLR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
